model,workload_id,batch_size,system,status,energy_status,prefill_known_J,decode_known_J,E2E_known_J,E2E_known_J_per_token,E2E_J_per_token,E2E_tokens_per_J,decode_J_per_token,decode_tokens_per_J,unresolved_HBM_write_bytes,host_static_power_status,HBM_read_J,Grace_memory_J,C2C_J,GPU_dynamic_J,GPU_static_J,prefill_J,decode_J,E2E_J,average_decode_power_W,decode_array_read_J,decode_array_write_J,decode_read_peripheral_J,decode_row_select_J,decode_column_select_J,decode_write_driver_J,decode_router_J,decode_pipeline_register_J,decode_sram_read_J,decode_sram_write_J,decode_mac_J,decode_reduction_J,decode_interface_J,decode_miv_J,decode_feol_wire_J,decode_gpu_dynamic_J,decode_gpu_static_J,decode_feol_unresolved_J,prefill_array_read_J,prefill_array_write_J,prefill_read_peripheral_J,prefill_row_select_J,prefill_column_select_J,prefill_write_driver_J,prefill_router_J,prefill_pipeline_register_J,prefill_sram_read_J,prefill_sram_write_J,prefill_mac_J,prefill_reduction_J,prefill_interface_J,prefill_miv_J,prefill_feol_wire_J,prefill_gpu_dynamic_J,prefill_gpu_static_J,prefill_feol_unresolved_J
Llama-3.1-8B,W1,1,HBM_GPU,EVALUATED,ENERGY_INCOMPLETE_HBM_WRITE_UNRESOLVED,5.3249288507883445,518.284508569338,523.6094374201263,2.045349364922368,,,,,1577314816.0,UNRESOLVED,62.753751852646396,0.0,0.0,367.31148994347006,88.21926677322152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Llama-3.1-8B,W1,1,M3D_GPU,EVALUATED,MODELED_EVENT_ENERGY__WORKLOAD_THERMAL_CLOSURE_PENDING,,,,,1.8994673102365476,0.5264633903467738,1.8792330585089156,0.5321319755802155,,,,,,,,5.179968442273761,481.0836629782824,486.2636314205562,415.58410272628606,5.79579878047744,9.999220736e-08,1.257905324032,3.3554432e-05,3.3554432e-05,2.68435456e-05,0.0,0.0,0.0,0.0,0.0,0.0,15.723950768127999,0.0769172346304125,5.254482647673457,367.31148994347006,85.66302422746921,0.0,0.026381305112166395,4.600405944319999e-06,0.00572573089792,0.001543760384,0.001543760384,0.0012350083072000001,0.0,0.0,0.0,0.0,0.0,0.0,0.07774667776,0.00038031532161943756,0.02612083308254991,4.219620073972875,0.8196663766454857,0.0
Llama-3.1-8B,W1,1,M3D_MAC_NMP,EVALUATED,MODELED_EVENT_ENERGY__WORKLOAD_THERMAL_CLOSURE_PENDING,,,,,0.4198058140829373,2.382053717346656,0.39957156235530544,2.5026806064611375,,,,,,,,5.179968442273761,102.2903199629582,107.47028840523195,304.1604954509604,5.79579878047744,9.999220736e-08,1.257905324032,3.3554432e-05,3.3554432e-05,2.68435456e-05,9.6750951989248,0.67311130116096,4.525166690304,4.525166690304,4.19665281024,0.032010928128,1.083993227264,0.0769172346304125,9.545387537101703,25.32208178888704,24.886478653436207,10.694459745665831,0.026381305112166395,4.600405944319999e-06,0.00572573089792,0.001543760384,0.001543760384,0.0012350083072000001,0.0,0.0,0.0,0.0,0.0,0.0,0.07774667776,0.00038031532161943756,0.02612083308254991,4.219620073972875,0.8196663766454857,0.0
Llama-3.1-8B,W1,8,HBM_GPU,EVALUATED,ENERGY_INCOMPLETE_HBM_WRITE_UNRESOLVED,40.92216966538848,600.0540309795865,640.976200644975,0.3129766604711792,,,,,12618518528.0,UNRESOLVED,72.65116274609356,0.0,0.0,425.2646621000499,102.13820613344296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Llama-3.1-8B,W1,8,M3D_GPU,EVALUATED,MODELED_EVENT_ENERGY__WORKLOAD_THERMAL_CLOSURE_PENDING,,,,,0.2918336778769192,3.426609318276658,0.27196626593198103,3.6769266091629937,,,,,,,,40.688459663233445,556.9869126286972,597.6753722919306,415.58371957475197,6.709901926386893,7.9993765888e-07,1.4562999297638402,0.000268435456,0.000268435456,0.0002147483648,0.0,0.0,0.0,0.0,0.0,0.0,18.204822863872,0.08905300312415504,6.082772154591177,425.2646621000499,99.17864823169472,0.0,0.05614228340736,3.6803247554559994e-05,0.012184977408,0.012350083072,0.012350083072,0.009880066457600001,0.0,0.0,0.0,0.0,0.0,0.0,0.201712549888,0.0009867222842088403,0.06852448944983262,33.756960591783,6.557331013163886,0.0
Llama-3.1-8B,W1,8,M3D_MAC_NMP,EVALUATED,MODELED_EVENT_ENERGY__WORKLOAD_THERMAL_CLOSURE_PENDING,,,,,0.2918336778769192,3.426609318276658,0.27196626593198103,3.6769266091629937,,,,,,,,40.688459663233445,556.9869126286972,597.6753722919306,415.58371957475197,6.709901926386893,7.9993765888e-07,1.4562999297638402,0.000268435456,0.000268435456,0.0002147483648,0.0,0.0,0.0,0.0,0.0,0.0,18.204822863872,0.08905300312415504,6.082772154591177,425.2646621000499,99.17864823169472,0.0,0.05614228340736,3.6803247554559994e-05,0.012184977408,0.012350083072,0.012350083072,0.009880066457600001,0.0,0.0,0.0,0.0,0.0,0.0,0.201712549888,0.0009867222842088403,0.06852448944983262,33.756960591783,6.557331013163886,0.0
Llama-3.1-8B,W2,1,HBM_GPU,EVALUATED,ENERGY_INCOMPLETE_HBM_WRITE_UNRESOLVED,8.502942181634957,597.9168324135666,606.4197745952015,2.368827244512506,,,,,1577314816.0,UNRESOLVED,72.39568499671039,0.0,0.0,423.7473602129101,101.77378720394613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Llama-3.1-8B,W2,1,M3D_GPU,EVALUATED,MODELED_EVENT_ENERGY__WORKLOAD_THERMAL_CLOSURE_PENDING,,,,,2.2005365987233048,0.45443461407557345,2.167969455574519,0.4612611111418988,,,,,,,,8.337188646089198,555.0001806270768,563.337369273166,415.5841252250994,6.68630656221184,9.999220736e-08,1.451178852352,3.3554432e-05,3.3554432e-05,2.68435456e-05,0.0,0.0,0.0,0.0,0.0,0.0,18.139869872128,0.08873530490180237,6.061847060645207,423.7473602129101,98.8247887095261,0.0,0.0298598511345664,4.600405944319999e-06,0.00648070561792,0.001543760384,0.001543760384,0.0012350083072000001,0.0,0.0,0.0,0.0,0.0,0.0,0.08718386176,0.00042647965861705424,0.02927463831597632,6.849175278629772,1.3304607014912,0.0
Llama-3.1-8B,W2,1,M3D_MAC_NMP,EVALUATED,MODELED_EVENT_ENERGY__WORKLOAD_THERMAL_CLOSURE_PENDING,,,,,0.4848328590209947,2.06256647294753,0.4522657046470929,2.2110896088844703,,,,,,,,8.33719151971886,115.78002038965579,124.11721190937465,313.0376689887747,6.68630656221184,9.999220736e-08,1.451178852352,3.3554432e-05,3.3554432e-05,2.68435456e-05,11.565270040576001,0.6730398302208,5.203951878144,5.203951878144,6.61257191424,0.117373403136,1.159490699264,0.08873530490180237,10.80119628681689,27.08570273480704,27.36961828431504,11.761538668124572,0.0298598511345664,4.600405944319999e-06,0.00648070561792,0.001543760384,0.001543760384,0.0012350083072000001,0.0,0.0,0.0,0.0,0.0,0.0,0.08718386176,0.00042647965861705424,0.029277511945640593,6.849175278629772,1.3304607014912,0.0
Llama-3.1-8B,W2,8,HBM_GPU,EVALUATED,ENERGY_INCOMPLETE_HBM_WRITE_UNRESOLVED,66.34627631216138,1237.1126217334152,1303.4588980455765,0.6364545400613166,,,,,12618518528.0,UNRESOLVED,149.78662789860556,0.0,0.0,876.7516242555699,210.57436957923957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
